SZ,Total Pop
Newton Circus,200
Marina South,0
People's Park,370
Bras Basah,0
Paterson,120
Istana Negara,0
City Hall,0
Bukit Ho Swee,16320
Fort Canning,170
Bugis,2320
Bencoolen,1430
Little India,3710
Selegie,260
Kampong Java,11400
Mackenzie,80
Tanjong Pagar,490
Crawford,9790
Rochor Canal,0
Sungei Road,2400
Lavender,10390
Moulmein,8490
Central Subzone,470
Cecil,120
Institution Hill,3340
Marina East,0
Bayfront Subzone,0
Boulevard,340
Maxwell,0
Kampong Glam,140
Mount Emily,1010
Kampong Bugis,870
Monk's Hill,960
Farrer Park,3140
Marina Centre,0
Somerset,70
Boat Quay,120
Robertson Quay,2420
Leonie Hill,2420
Tanjong Rhu,11380
Dhoby Ghaut,170
Raffles Place,0
Clifford Pier,0
Victoria,2010
Chinatown,12000
China Square,1510
Pearl's Hill,8260
Clarke Quay,90
Phillip,0
Oxley,1350
Cairnhill,3330
